,Raices,Cotas,Orden de convergencia,constante asintotica
0,8.25236085995563,2.479363647543778,0.0,0.9264349589547844
1,8.377418967343509,0.6041995763560521,0.0,0.9264349589547844
2,8.439008424384172,0.14926567613980524,0.9450411480887536,0.9264349589547844
3,8.469577679992017,0.037102803390439476,0.9764173999680478,0.9264349589547844
4,8.48480705258359,0.009249552803112238,0.988999011634386,0.9264349589547844
5,8.49240806038905,0.002309153314968171,0.9946793350754738,0.9264349589547844
6,8.496205161352435,0.0005768860390276132,0.9973826488134585,0.9264349589547844
7,8.498102863170509,0.0001441713521330712,0.9987018360190966,0.9264349589547844
8,8.499051502170246,3.6036576204878656e-05,0.9993535174097706,0.9264349589547844
9,8.499525768726704,9.008361928408704e-06,0.9996774071984157,0.9264349589547844
10,8.499762888769878,2.25199272563259e-06,0.9998388573799027,0.9264349589547844
11,8.499881445478703,5.629859174405283e-07,0.9999194937464507,0.9264349589547844
12,8.499940723010027,1.4074498722038697e-07,0.9999597920774592,0.9264349589547844
13,8.499970361560687,3.518607627484016e-08,0.9999797211486864,0.9264349589547844
14,8.499985180740358,8.79646222529118e-09,0.9999904335487351,0.9264349589547844
15,8.499992590297284,2.1991581888869405e-09,0.9999988470495458,0.9264349589547844
16,8.499996294820606,5.497327038028743e-10,0.9999970953840617,0.9264349589547844
17,8.4999981470611,1.3744738680543378e-10,1.000092950132778,0.9264349589547844
18,8.499999073006611,3.439026841078885e-11,0.9999171363539984,0.9264349589547844
19,8.499999534569476,8.58335624798201e-12,1.000255736641753,0.9264349589547844
20,8.49999976324862,2.1600499167107046e-12,1.004126791253177,0.9264349589547844
21,8.499999871143325,5.115907697472721e-13,1.008763650120193,0.9264349589547844
22,8.49999992070269,1.1368683772161603e-13,1.0695797688706654,0.9264349589547844
23,8.499999947547042,5.684341886080802e-14,1.0357051764659788,0.9264349589547844
