,Raices,Cotas,Orden de convergencia
0,8.25236085995563,2.479363647543778,0.0
1,8.377418967343509,0.6041995763560521,0.0
2,8.439008424384172,0.14926567613980524,0.9450411480887536
3,8.469577679992017,0.037102803390439476,0.9764173999680478
4,8.48480705258359,0.009249552803112238,0.988999011634386
5,8.49240806038905,0.002309153314968171,0.9946793350754738
6,8.496205161352435,0.0005768860390276132,0.9973826488134585
7,8.498102863170509,0.0001441713521330712,0.9987018360190966
8,8.499051502170246,3.6036576204878656e-05,0.9993535174097706
9,8.499525768726704,9.008361928408704e-06,0.9996774071984157
10,8.499762888769878,2.25199272563259e-06,0.9998388573799027
11,8.499881445478703,5.629859174405283e-07,0.9999194937464507
12,8.499940723010027,1.4074498722038697e-07,0.9999597920774592
13,8.499970361560687,3.518607627484016e-08,0.9999797211486864
14,8.499985180740358,8.79646222529118e-09,0.9999904335487351
15,8.499992590297284,2.1991581888869405e-09,0.9999988470495458
16,8.499996294820606,5.497327038028743e-10,0.9999970953840617
17,8.4999981470611,1.3744738680543378e-10,1.000092950132778
18,8.499999073006611,3.439026841078885e-11,0.9999171363539984
19,8.499999534569476,8.58335624798201e-12,1.000255736641753
20,8.49999976324862,2.1600499167107046e-12,1.004126791253177
21,8.499999871143325,5.115907697472721e-13,1.008763650120193
22,8.49999992070269,1.1368683772161603e-13,1.0695797688706654
23,8.499999947547042,5.684341886080802e-14,1.0357051764659788
