,Raices,Cotas
0,7.43749999999925,36.426163452599724
1,7.99404761904728,10.534561105453406
2,8.25236085995563,2.479363647543778
3,8.377418967343509,0.6041995763560521
4,8.439008424384172,0.14926567613980524
5,8.469577679992017,0.037102803390439476
6,8.48480705258359,0.009249552803112238
7,8.49240806038905,0.002309153314968171
8,8.496205161352435,0.0005768860390276132
9,8.498102863170509,0.0001441713521330712
10,8.499051502170246,3.6036576204878656e-05
11,8.499525768726704,9.008361928408704e-06
12,8.499762888769878,2.25199272563259e-06
13,8.499881445478703,5.629859174405283e-07
14,8.499940723010027,1.4074498722038697e-07
15,8.499970361560687,3.518607627484016e-08
16,8.499985180740358,8.79646222529118e-09
17,8.499992590297284,2.1991581888869405e-09
18,8.499996294820606,5.497327038028743e-10
19,8.4999981470611,1.3744738680543378e-10
20,8.499999073006611,3.439026841078885e-11
21,8.499999534569476,8.58335624798201e-12
22,8.49999976324862,2.1600499167107046e-12
23,8.499999871143325,5.115907697472721e-13
24,8.49999992070269,1.1368683772161603e-13
25,8.499999947547042,5.684341886080802e-14
