,Raices,Cotas,Orden de convergencia
0,4.25,-,0.0
1,6.375,110.53456495960498,0.0
2,7.4375,36.42616345259705,1.0
3,7.96875,10.205606139736233,1.0
4,8.234375,2.68878469450749,1.0
5,8.3671875,0.6893690685735123,1.0
6,8.43359375,0.1744888790116761,1.0
7,8.466796875,0.04389054623652555,1.0
8,8.4833984375,0.011006177369495163,1.0
9,8.49169921875,0.0027557369437545276,1.0
10,8.495849609375,0.0006894583110579333,1.0
11,8.4979248046875,0.00017243008716150143,1.0
12,8.49896240234375,4.3115710468555335e-05,1.0
13,8.499481201171875,1.077995119658226e-05,1.0
14,8.499740600585938,2.6951157678922755e-06,1.0
15,8.499870300292969,6.737949433954782e-07,1.0
16,8.499935150146484,1.6845069694682024e-07,1.0
17,8.499967575073242,4.2112958453799365e-08,1.0
18,8.499983787536621,1.0528253824304556e-08,1.0
19,8.49999189376831,2.6320776669308543e-09,1.0
20,8.499995946884155,6.580194167327136e-10,1.0
21,8.499997973442078,1.645048541831784e-10,1.0
22,8.499998986721039,4.1154635255225e-11,1.0
23,8.49999949336052,1.0231815394945443e-11,1.0
24,8.49999974668026,2.6147972675971687e-12,1.0
25,8.49999987334013,6.252776074688882e-13,1.0
