,tiempo,presa,depredador
139,13.9000000,3.6381415,1.0218232
140,14.0000000,4.0741193,1.0973370
141,14.1000000,4.5115209,1.2098833
142,14.2000000,4.9157640,1.3683665
143,14.3000000,5.2383740,1.5821573
144,14.4000000,5.4207863,1.8578337
145,14.5000000,5.4071300,2.1931372
146,14.6000000,5.1665804,2.5694179
147,14.7000000,4.7159122,2.9478319
148,14.8000000,4.1235958,3.2763589
149,14.9000000,3.4852203,3.5078200
150,15.0000000,2.8857067,3.6174585
151,15.1000000,2.3753749,3.6077909
152,15.2000000,1.9695930,3.5005721
153,15.3000000,1.6615801,3.3247976
154,15.4000000,1.4355065,3.1079231
155,15.5000000,1.2745929,2.8718893
156,15.6000000,1.1646158,2.6324672
157,15.7000000,1.0947685,2.4001325
158,15.8000000,1.0573971,2.1813440
159,15.9000000,1.0474175,1.9797251
160,16.0000000,1.0617473,1.7969963
161,16.1000000,1.0988553,1.6336596
162,16.2000000,1.1584331,1.4894818
163,16.3000000,1.2411645,1.3638309
164,16.4000000,1.3485609,1.2559113
165,16.5000000,1.4828301,1.1649321
166,16.6000000,1.6467474,1.0902366
167,16.7000000,1.8434896,1.0314134
168,16.8000000,2.0763883,0.9884062
169,16.9000000,2.3485389,0.9616396
170,17.0000000,2.6621792,0.9521780
171,17.1000000,3.0177253,0.9619330
172,17.2000000,3.4123238,0.9939308
173,17.3000000,3.8377826,1.0526337
174,17.4000000,4.2778411,1.1442507
175,17.5000000,4.7050606,1.2768450
176,17.6000000,5.0783791,1.4597855
177,17.7000000,5.3437275,1.7017198
178,17.8000000,5.4415494,2.0060536
179,17.9000000,5.3243946,2.3638366
180,18.0000000,4.9812899,2.7470413
181,18.1000000,4.4541559,3.1090566
182,18.2000000,3.8284975,3.3975257
183,18.3000000,3.1993647,3.5740408
184,18.4000000,2.6371558,3.6267831
185,18.5000000,2.1749259,3.5686295
186,18.6000000,1.8159756,3.4260750
187,18.7000000,1.5479835,3.2281871
188,18.8000000,1.3539963,3.0001183
189,18.9000000,1.2181852,2.7609112
190,19.0000000,1.1278935,2.5237387
191,19.1000000,1.0738360,2.2970606
192,19.2000000,1.0496221,2.0858926
193,19.3000000,1.0511570,1.8928786
194,19.4000000,1.0761237,1.7191046
195,19.5000000,1.1235900,1.5646828
196,19.6000000,1.1937301,1.4291611
197,19.7000000,1.2876278,1.3118074
198,19.8000000,1.4071318,1.2118103
199,19.9000000,1.5547295,1.1284264
200,20.0000000,1.7334057,1.0610992
201,20.1000000,1.9464468,1.0095670
202,20.2000000,2.1971350,0.9739786
203,20.3000000,2.4882643,0.9550322
204,20.4000000,2.8213762,0.9541542
205,20.5000000,3.1955902,0.9737343
206,20.6000000,3.6058835,1.0174209
207,20.7000000,4.0407098,1.0904503
208,20.8000000,4.4790255,1.1999002
209,20.9000000,4.8872890,1.3545712
210,21.0000000,5.2180332,1.5638797
211,21.1000000,5.4131457,1.8347902
212,21.2000000,5.4158693,2.1659779
213,21.3000000,5.1925995,2.5402594
214,21.4000000,4.7560204,2.9202417
215,21.5000000,4.1712121,3.2543680
216,21.6000000,3.5330366,3.4943818
217,21.7000000,2.9283529,3.6134644
218,21.8000000,2.4103734,3.6122330
219,21.9000000,1.9967363,3.5114127
220,22.0000000,1.6818316,3.3398186
221,22.1000000,1.4501641,3.1252153
222,22.2000000,1.2848590,2.8900125
223,22.3000000,1.1714478,2.6504278
224,22.4000000,1.0988673,2.4172935
225,22.5000000,1.0592445,2.1973283
226,22.6000000,1.0473217,1.9943344
227,22.7000000,1.0598829,1.8101496
228,22.8000000,1.0952921,1.6453492
229,22.9000000,1.1531575,1.4997424
230,23.0000000,1.2340943,1.3727182
231,23.1000000,1.3395558,1.2634869
232,23.2000000,1.4717016,1.1712525
233,23.3000000,1.6332690,1.0953442
234,23.4000000,1.8274114,1.0353283
235,23.5000000,2.0574602,0.9911175
236,23.6000000,2.3265462,0.9630953
237,23.7000000,2.6370007,0.9522711
238,23.8000000,2.9894207,0.9604838
239,23.9000000,3.3812633,0.9906646
240,24.0000000,3.8048274,1.0471554
241,24.1000000,4.2445699,1.1360250
242,24.2000000,4.6740016,1.2652027
243,24.3000000,5.0531285,1.4440043
244,24.4000000,5.3287169,1.6812525
245,24.5000000,5.4411457,1.9809720
246,24.6000000,5.3412269,2.3354193
247,24.7000000,5.0144349,2.7181305
248,24.8000000,4.4986265,3.0836085
249,24.9000000,3.8769960,3.3792537
250,25.0000000,3.2452380,3.5649963
251,25.1000000,2.6763742,3.6268984
252,25.2000000,2.2061939,3.5763015
253,25.3000000,1.8397561,3.4390987
254,25.4000000,1.5654712,3.2444516
255,25.5000000,1.3664763,3.0179274
256,25.6000000,1.2267530,2.7790411
257,25.7000000,1.1333843,2.5413738
258,25.8000000,1.0768430,2.3136959
259,25.9000000,1.0505411,2.1012428
260,26.0000000,1.0502300,1.9068062
261,26.1000000,1.0734734,1.7315671
262,26.2000000,1.1192457,1.5756953
263,26.3000000,1.1876449,1.4387701
264,26.4000000,1.2796915,1.3200729
265,26.5000000,1.3971809,1.2187926
266,26.6000000,1.5425566,1.1341766
267,26.7000000,1.7187716,1.0656503
268,26.8000000,1.9290981,1.0129260
269,26.9000000,2.1768327,0.9761170
270,27.0000000,2.4648285,0.9558745
271,27.1000000,2.7947560,0.9535625
272,27.2000000,3.1659696,0.9714883
273,27.3000000,3.5738337,1.0131936
274,27.4000000,4.0073924,1.0837839
275,27.5000000,4.4464301,1.1901942
276,27.6000000,4.8584340,1.3411156
277,27.7000000,5.1969593,1.5459933
278,27.8000000,5.4044118,1.8121439
279,27.9000000,5.4232783,2.1391288
280,28.0000000,5.2173219,2.5111991
281,28.1000000,4.7951867,2.8924434
282,28.2000000,4.2184332,3.2318726
283,28.3000000,3.5809663,3.4802658
284,28.4000000,2.9714274,3.6087812
285,28.5000000,2.4459097,3.6160937
286,28.6000000,2.0243946,3.5218281
287,28.7000000,1.7025194,3.3545667
288,28.8000000,1.4651710,3.1423585
289,28.9000000,1.2954000,2.9080775
290,29.0000000,1.1784984,2.6683917
291,29.1000000,1.1031453,2.4344972
292,29.2000000,1.0612455,2.2133791
293,29.3000000,1.0473653,2.0090231
294,29.4000000,1.0581519,1.8233883
295,29.5000000,1.0918634,1.6571258
296,29.6000000,1.1480234,1.5100892
297,29.7000000,1.2271772,1.3816898
298,29.8000000,1.3307200,1.2711447
299,29.9000000,1.4607623,1.1776536
